,key,title,authors,abstract,year_published,tags
29,rayyan-354359305,Developing applications to automatically grade introductory visual basic courses,Gerdes J.,"There are many unique challenges associated with introductory programming courses. For novice programmers, the challenges of their first programming class can lead to a great deal of stress and frustration. Regular programming assignments is often key to developing an understanding of best practices and the coding process. Students need practice with these new concepts to reinforce the underlying principles. Providing timely and consistent feedback on these assignments can be a challenge for instructors, particularly in large classes. Plagiarism is also a concern. Unfortunately traditional tools are not well suited to introductory courses. This paper describes how AppGrader, a static code assessment tool can be used to address the challenges of an introductory programming class. The tool assesses student’s understanding and application of programming fundaments as defined in the current ACM/IEEE Information Technology Curriculum Guidelines. Results from a bench test and directions for future research are provided. © 2017 AIS/ICIS Administrative Office. All Rights Reserved.",2017,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:analytics', 'feedback:plagiarism', 'interaction:single', 'language:vb', 'skill:correctness', 'skill:documentation', 'technique:dsl_rules', 'technique:language_stuctures', 'technique:static_analysis', 'technique:style_check', 'tool:Prutor', 'tool:appgrader', 'type:description', 'type:evaluation']"
30,rayyan-354359306,The impact of automated code quality feedback in programming education,"Jansen J., Oprescu A., Bruntink M.","While some university-level programming courses focus on software quality, often in introductory courses code quality is little touched upon due to time constraints. Students usually get feedback on code quality after the grading of their assignment, feedback that cannot be used on that same assignment. Our aim is to improve students' skills for code quality during the evolution of a students' programming assignment, while keeping the overhead low for teaching sta as well as for students. Better Code Hub is a service that checks code quality according to ten guidelines. We employ Better Code Hub as a formative assessment and feedback tool enabling students to monitor their progress on code quality. Our findings indicate that there is an improvement in the code quality of the students' assignments over the period the tool is used. Our experiments show that students benefited the most from feedback on unit length, unit complexity, and code duplication. Copyright c by the paper's authors. Copying permitted for private and academic purposes.",2017,"['approach:unclear', 'data:internal_assignments', 'data_available:False', 'evaluation:analytics', 'evaluation:feedback', 'feedback:static_analysis', 'interaction:unknown', 'language:python', 'skill:code_quality', 'technique:static_analysis', 'tool:better_code_hub', 'type:evaluation']"
31,rayyan-354359307,AuDoscore: Automatic grading of Java or scala homework,"Oster N., Kamp M., Philippsen M.","Fully automated test-based grading is crucial to cope with large numbers of student homework code. AuDoscore extends JUnit and keeps the task of creating exercises and corresponding grading tests simple. Students have a set of public smoke tests available. Grading also uses additional secret tests that check the submission more intensely. AuDoscore ensures that submissions cannot call libraries if the lecturer explicitly forbids them. Grading is not susceptible to the problem of consecutive faults by partially replacing student code with cleanroom code provided by a lecturer. AuDoscore can be run as a stand-alone application or integrated into our Exercise Submission Tool (EST). This paper briefly describes how both tools interact, depicts AuDoscore from the point of view of the lecturer, and describes some key technical aspects of its implementation.",2017,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:analytics', 'feedback:test_output', 'interaction:multiple', 'interaction:single', 'language:java', 'language:scala', 'skill:correctness', 'technique:test_cases', 'technique:unit_test_expansion', 'technique:unit_testing', 'tool:audoscore', 'type:description', 'type:evaluation']"
32,rayyan-354359308,Some aspects of grading java code submissions in MOOCs,"Király S., Nehéz K., Hornyák O.","Recently, massive open online courses (MOOCs) have been offering a new online approach in the field of distance learning and online education. A typical MOOC course consists of video lectures, reading material and easily accessible tests for students. For a computer programming course, it is important to provide interactive, dynamic, online coding exercises and more complex programming assignments for learners. It is expedient for the students to receive prompt feedback on their coding submissions. Although MOOC automated programme evaluation subsystem is capable of assessing source programme files that are in learning management systems, in MOOC systems there is a grader that is responsible for evaluating students’ assignments with the result that course staff would be required to assess thousands of programmes submitted by the participants of the course without the benefit of an automatic grader. This paper presents a new concept for grading programming submissions of students and improved techniques based on the Java unit testing framework that enables automatic grading of code chunks. Some examples are also given such as the creation of unique exercises by dynamically generating the parameters of the assignment in a MOOC programming course combined with the kind of coding style recognition to teach coding standards. © 2017, Taylor and Francis Ltd. All rights reserved.",2017,"['approach:fully_automated', 'data:internal_exams', 'data_available:False', 'evaluation:usage', 'feedback:test_output', 'interaction:unknown', 'language:java', 'skill:code_quality', 'skill:correctness', 'technique:dsl_rules', 'technique:style_check', 'technique:test_cases', 'technique:unit_testing', 'tool:checkstyle', 'tool:memooc', 'type:description']"
33,rayyan-354359309,An empirical study comparing two automatic graders for programming. MOOCs context,"Bey A., Jermann P., Dillenbourg P.","The present paper compares Algo+, an assessment tool for computer programs, to an automatic grader used in a MOOC course at EPFL. This empirical study explores the practicability and the behaviour of Algo+ and analyses whether Algo+ can be used to evaluate a large scale of programs. Algo+ is a prototype based on a static analysis approach for automated assessment of algorithms where programs are not executed but analysed by looking at their instructions. The second tool, EPFL grader, is used to grade programs submitted by students in MOOCs of Introductory programming with C++ at EPFL and is based on a compiler approach. In this technique submissions are assessed via a battery of unit tests where the student program is run with standard input and assessed on whether they produced the correct output. © Springer International Publishing AG 2017.",2017,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:auto_graders', 'feedback:test_output', 'interaction:unknown', 'language:c++', 'skill:correctness', 'technique:pattern_matching', 'technique:test_cases', 'tool:epfl_grader', 'type:evaluation_paper']"
34,rayyan-354359310,Automatic assessment of programming assignments using image recognition,"Muuli E., Papli K., Tõnisson E., Lepp M., Palts T., Suviste R., Säde M., Luik P.","Automatic assessment of programming tasks in MOOCs (Massive Open Online Courses) is essential due to the large number of submissions. However, this often limits the scope of the assignments since task requirements must be strict for the solutions to be automatically gradable, reducing the opportunity for solutions to be creative. In order to alleviate this problem, we introduce a system capable of assessing the graphical output of a solution program using image recognition. This idea is applied to introductory computer graphics programming tasks whose solutions are programs that produce images of a given object on the screen. The image produced by the solution program is analysed using image recognition, resulting in a probability of a given object appearing in the image. The solution is accepted or rejected based on this score. The system was tested in a MOOC on 2,272 solution submissions. The results contained 4.6% cases of false negative and 0.5% cases of false positive grades. The method introduced in this paper saved approximately one minute per submission of the instructors’ time compared to manual grading. A participant survey revealed that the system was perceived to be functioning well or very well by 82.1% of the respondents, with an average rating of 4.4 out of 5. © Springer International Publishing AG 2017.",2017,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:compared_to_human', 'evaluation:user_study', 'feedback:probability_incorrect', 'interaction:single', 'language:python', 'skill:correctness', 'technique:graphical_output', 'technique:output_matching', 'tool:vpl', 'type:description', 'type:evaluation']"
35,rayyan-354359311,Experiences With Auto-Grading in a Systems Course,D. M. Rao,"Rapidly growing computing-class sizes across college campuses are challenging instructional resources and staffing. We have developed an automatic testing and grading software system called Code Assessment Extension (CODE). It is integrated with our existing Canvas Learning Management System (LMS). This paper presents experiences from both student and instructor perspectives with using auto-grading in a junior-level, systems course with a heavy emphasis on programming in C++, with several challenges, including - 1 this course was the first experience for both the students and the instructor in using any form of automatic grading, 2 the students have limited experience with C++ programming, particularly in Linux, and 3 the course includes complex concepts on operating systems, multithreading, and networking. The paper presents quantitative results from 3,300 submissions (from 1 course, 1 semester, 6 programming assignments, 54 students, multiple submissions per-student per-assignment) and analysis of end-of-course surveys from 54 students. The inferences from the statistics strongly support the use of automatic grading systems such as CODE to enhance learning in programming-centric courses.",2019,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:analytics', 'evaluation:auto_grading', 'evaluation:student_survey', 'feedback:test_output', 'interaction:multiple', 'language:c++', 'skill:correctness', 'technique:test_cases', 'technique:unit_testing', 'tool:canvas', 'tool:code', 'type:description', 'type:evaluation']"
36,rayyan-354359313,Enhancing the Learning of Database Access Programming using Continuous Integration and Aspect Oriented Programming,B. Pérez,"Database access programming is a noteworthy component of Software Engineering (SE) education on databases that students are expected to acquire during training for their careers. In our university, we cover such an education in a course that emphasizes the use of the JDBC API to access databases. This paper presents our experiences in developing and running a framework to enhance the learning experience of database access programming, which is motivated by several factors. First, our students face great demands on acquiring JDBC acknowledge, and providing them with constructive feedback serves a critical role. Second, the increasing number of students leads to high efforts in managing and grading their assignments. Finally, we consider of strategic importance to bring modern industrial SE techniques into the classroom, so that students obtain a better experience with industry practices. Our framework draws upon constructive alignment and automated formative assessment, combining Continuous Integration (CI) and Aspect Oriented Programming (AOP). We include an innovative application of AOP, a programming technique that aims to modularize inherently scattered functionality into single functional units, to help students adopt well-established JDBC best practices. We also use well-known industrial software tools (Travis CI and GitHub) to manage and grade students' assignments and support automated integration testing with databases. The findings of this study, applied to a class of 53 students, suggest positive effects, such as motivate students to implement JDBC best practices, streamline the management and grading of their assignments, help them get familiar with industrial tools, or improve their grades.",2021,"['approach:semi_automatic', 'data:internal_exams', 'data_available:False', 'evaluation:student_survey', 'feedback:manual_personalised_feedback', 'feedback:test_output', 'interaction:multiple', 'language:java', 'skill:best_practices', 'skill:correctness', 'technique:ci_cd', 'technique:test_cases', 'technique:trace_examination', 'technique:unit_testing', 'tool:jdbc', 'type:description', 'type:evaluation']"
37,rayyan-354359314,MAESTRO: a semi-autoMAted Evaluation SysTem for pROgramming assignments,A. Bertagnon and M. Gavanelli,"Many works in the literature highlight the importance of formative assessment to improve the learning process. Formative assessment means providing assignments to the students and giving them feedback during the course. It is not very used in Italian Universities because it is highly time-consuming for the professors, that typically do not have help in the process of homework grading.In this work, we focus on programming exercises in computer science subjects, and propose a tool to semi-automatically grade and give feedback to the students. The tool was used in a computer language course on functional programming in a M.Sc. degree; the students evaluation of the course show a steep increase in the students appreciation. The tool is currently used in a course at undergraduate level on C programming.",2020,"['approach:semi_automatic', 'data:internal_assignments', 'data_available:False', 'evaluation:auto_grading', 'evaluation:student_survey', 'feedback:manual_personalised_feedback', 'interaction:single', 'language:C', 'language:Haskell', 'skill:correctness', 'technique:property_based_testing', 'technique:test_cases', 'tool:flubaroo', 'tool:google_forms', 'tool:quickcheck', 'type:description', 'type:evaluation']"
38,rayyan-354359315,Quantitative Evaluation of Student Engagement in a Large-Scale Introduction to Programming Course using a Cloud-based Automatic Grading System,N. Norouzi and R. Hausen,"In this WIP Research to Practice paper, we explored the impact of integrating the university's learning management system and an automatic grading system in delivering a large-scale introduction to programming course in 2 consecutive quarters. Our initial approach utilizes an on-demand standalone automatic grading system and a separate assignment submission portal on Canvas. After evaluating our performance and specific student feedback, we integrated the assignment submission portal with the autograder system to provide a real-time objective assessment of assignments.The main improvement after enforcing assignment submission through the autograder (Stepik) was the noticeable improvement in the class average of assignment scores by 20.5% even though most of the test cases were hidden. Another interesting observation was the effect of our approach in decreasing the DFW rate to 12.5% from 46% and a considerable increase in the passing rate of female students, by 22%. We also noticed that in the second iteration of the course students who took the course as an elective were able to perform comparably and even better than students who took it as a requirement. It is also worth mentioning that using autograder helped students increase their code quality.",2018,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:analytics', 'evaluation:auto_grading', 'feedback:test_output', 'interaction:unknown', 'language:java', 'skill:correctness', 'technique:test_cases', 'technique:unit_testing', 'tool:stepik', 'type:evaluation_paper']"
39,rayyan-354359316,The Influence of Test Suite Properties on Automated Grading of Programming Exercises,B. S. Clegg and P. McMinn and G. Fraser,"Automated grading allows for the scalable assessment of large programming courses, often using test cases to determine the correctness of students' programs. However, test suites can vary in multiple ways, such as quality, size, and coverage. In this paper, we investigate how much test suites with varying properties can impact generated grades, and how these properties cause this impact. We conduct a study on artificial faulty programs that simulate students' programming mistakes and test suites generated from manually written tests. We find that these test suites generate greatly varying grades, with the standard deviation of grades for each fault typically representing ~84% of the grades not apportioned to the fault. We show that different properties of test suites can influence the grades that they produce, with coverage typically making the greatest effect, and mutation score and the potentially redundant repeated coverage of lines also having a significant impact. We offer suggestions based on our findings to assist tutors with building grading test suites that assess students' code in a fair and consistent manner. These suggestions include ensuring that test suites have 100% coverage, avoiding unnecessarily recovering lines, and checking test suites using real or artificial faults.",2020,"['approach:unclear', 'data:code_defenders_dataset', 'data_available:False', 'evaluation:grading_accuracy', 'feedback:none', 'interaction:none', 'language:java', 'skill:correctness', 'technique:mutants', 'technique:test_cases', 'technique:unit_testing', 'tool:none', 'type:evaluation_paper']"
40,rayyan-354359317,Automated code evaluation of computer programming sessions with MATLAB Grader,Y. Boada and A. Vignoni,"Automatic grading of code and computational practices offers several beneficial practical and pedagogical advantages and is now possible using a variety of techniques. Recently, MathWorks has introduced a native solution for MATLAB code: MATLAB Grader. This web-based interface facilitates task submission and automatic grading based on preprogrammed criteria. The subject of Mechatronics (DISA-ETSINF-UPV) was used as a test where the in-class grading of some of the computer programming labs sessions have been replaced by automatically graded assignments, mainly using the MATLAB Grader platform.",2021,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:anecdotal', 'feedback:test_output', 'interaction:unknown', 'language:matlab', 'skill:correctness', 'technique:dsl_rules', 'technique:test_cases', 'technique:unit_testing', 'tool:matlab_grader', 'type:experience_report']"
41,rayyan-354359318,Gradeer: An Open-Source Modular Hybrid Grader,B. Clegg and M. -C. Villa-Uriol and P. McMinn and G. Fraser,"Automated assessment has been shown to greatly simplify the process of assessing students' programs. However, manual assessment still offers benefits to both students and tutors. We introduce Gradeer, a hybrid assessment tool, which allows tutors to leverage the advantages of both automated and manual assessment. The tool features a modular design, allowing new grading functionality to be added. Gradeer directly assists manual grading, by automatically loading code inspectors, running students' programs, and allowing grading to be stopped and resumed in place at a later time. We used Gradeer to assess an end of year assignment for an introductory Java programming course, and found that its hybrid approach offers several benefits.",2021,"['approach:semi_automatic', 'data:internal_assignments', 'data_available:False', 'evaluation:anecdotal', 'evaluation:usage', 'feedback:manual_personalised_feedback', 'interaction:single', 'language:java', 'skill:code_quality', 'skill:correctness', 'skill:readability', 'technique:style_check', 'technique:test_cases', 'technique:unit_testing', 'tool:checkstyle', 'tool:pmd', 'type:description', 'type:evaluation']"
42,rayyan-354359319,"2TSW: Automated Assessment of Computer Programming Assignments, in a Gamified Web Based System",G. Polito and M. Temperini and A. Sterbini,"Automated assessment and feedback of computer programming tasks can be a significant asset in computer science education. Web based systems providing such capabilities are designed to apply techniques ranging from static analysis of program correctness, to testing-based evaluation, and often can have application in frameworks supporting competitive programming. Here we report on the 2TSW system, which uses the testing-based approach in a gamified web-based environment. In 2TSWa learner can access a list of assignments, submit solutions and have such solutions tested and graded. The quality of the solutions contributes to the contents of the student's profile, showing experience points, medals gained for assignments, assignment categories badges, and an appropriate overall status badge. The personal profile allows the student to monitor her/his proceedings. The gamified structure of the system, together with the provision of real-time automated assessment, offers the opportunity for an increasing level of students' personal engagement and motivation. We describe the system, and provide the reader with the results of a field experimentation, conducted in a first-year computer programming course, bachelor in Computer Engineering. The data analysis of a questionnaire allows to conclude that the system was very welcome, and that the students appreciated the general gamified experience and the usefulness of the system. The data also allow to conclude that the students' engagement was high and that the learners appear to be open to the possibility of using again 2TSW and any other web-based system supporting assessment of complex tasks, also on subject matters different than Computer Programming.",2019,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:student_survey', 'feedback:gamified', 'feedback:test_output', 'interaction:unknown', 'language:C', 'skill:correctness', 'technique:test_cases', 'technique:unit_testing', 'tool:2tsw', 'type:description', 'type:evaluation']"
43,rayyan-354359320,Semantic Approach for Increasing Test Case Coverage in Automated Grading of Programming Exercise,M. R. I. Bariansyah and S. A. Rukmono and R. S. Perdana,"The widely popular approach for automatic grading in computer science is to run black-box testing against the student’s implementation. This kind of autograder evaluate programs solely based on their outputs given a set of inputs. However, manually writing a set of test cases with high coverage is laborious and inefficient. Hence, we explore another alternative approach in building test cases, specifically white-box testing. In theory, by knowing the internal workings of implementation, we can evaluate all possible execution paths, producing better test cases coverage, ultimately producing a complete grading. In this paper, we present research on using semantic analysis to generate test cases to determine the correctness of a student’s implementation. Instead of writing test cases, the evaluator will write a reference code, a correct implementation based on the programming problem specification. We implement a system that records execution paths, detects path deviation, and checks path equivalence to analyze the semantic difference of the reference code and student’s implementation. The system is built utilizing a concolic execution method for exploration and an SMT solver to solve formulas. Our experiments reveal that it is possible to automatically generate test cases and grade programming assignments by analyzing the semantic difference between reference and student implementation. Compared with grading using a random test case generator, it is evident that the system can provide better test case coverage for automatic grading in many occurrences.",2021,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:grading_accuracy', 'feedback:none', 'interaction:none', 'language:python', 'skill:correctness', 'technique:model_solution_req', 'technique:novel', 'technique:test_case_generation', 'technique:test_cases', 'tool:pyassessment', 'type:description', 'type:evaluation']"
44,rayyan-354359321,Automating Testing of Visual Observed Concurrency,P. Dewan and A. Wortas and Z. Liu and S. George and B. Gu and H. Wang,"Existing techniques for automating the testing of sequential programming assignments are fundamentally at odds with concurrent programming as they are oblivious to the algorithm used to implement the assignments. We have developed a framework that addresses this limitation for those object-based concurrent assignments whose user-interface (a) is implemented using the observer pattern and (b) makes apparent whether concurrency requirements are met. It has two components. The first component reduces the number of steps a human grader needs to take to interact with and score the user-interfaces of the submitted programs. The second component completely automates assessment by observing the events sent by the student-implemented observable objects. Both components are used to score the final submission and log interaction. The second component is also used to provide feedback during assignment implementation. Our experience shows that the framework is used extensively by students, leads to more partial credit, reduces grading time, and gives statistics about incremental student progress.",2021,"['approach:semi_automatic', 'data:internal_assignments', 'data_available:False', 'evaluation:compared_to_human', 'feedback:manual_personalised_feedback', 'feedback:test_output', 'interaction:single', 'language:java', 'skill:concurrency', 'skill:correctness', 'technique:test_cases', 'technique:unit_testing', 'tool:dbms', 'type:description', 'type:evaluation']"
45,rayyan-354359322,Enhancing an automated system for assessment of student programs using the token pattern approach,Y. T. Yu and C. M. Tang and C. K. Poon,"It is now common to use automated systems for assessing students' computer programming exercises. Many existing systems determine the correctness of a program by matching its output strings with the ones pre-deflned by the instructor. As a result, even when a student's program would be accepted as correct if marked by a human assessor, it is easily rejected by existing automated assessment systems as incorrect due to minor non-conformance of the program output. This technical limitation of existing systems is frequently a source of student complaints and frustrating learning experience. Common patches to these systems by simple pre-processing before matching the output strings are not satisfactory solutions. Recently, a token pattern approach has been proposed as a better solution by comparing the output tokens instead of characters. In this paper, we report our work of enhancing an existing automated program assessment system in our university by integrating it with the token pattern approach. Our preliminary evaluation shows that the enhanced system does improve the present state in that (1) it achieves progress towards more flexible assessment in a way closer to what a human assessor would normally do, and (2) more programming exercises are now assessable by the enhanced system with much reduced effort.",2017,"['approach:fully_automated', 'data:text_book_exercises', 'data_available:False', 'evaluation:compared_to_human', 'feedback:unclear', 'interaction:unknown', 'language:C', 'language:c++', 'skill:correctness', 'technique:output_matching', 'technique:pattern_matching', 'technique:token_pattern_matching', 'tool:pass', 'type:description', 'type:evaluation']"
46,rayyan-354359323,Smart Exam Evaluator for Object-Oriented Programming Modules,M. L. Wickramasinghe and H. P. Wijethunga and S. R. Yapa and D. M. D. Vishwajith and U. S. S. Samaratunge Arachchillage and N. Amarasena,"Worldwide educators considered that, automate the evaluation of programming language-based exams is a more challenging task due to its complexity and the diversity of solutions implemented by students. This research investigates and provides insight into the applicability and development of a java based online exam evaluator as a solution to traditional onerous manual exam assessment methodology. The proposed system allows students to take online exams in Java for an implemented source code in a practical exam, automatically reporting the results to the administrator simultaneously. Accordingly, this research examines existing methods, identifies their limitations, and explores the significance of introducing a smart object-oriented program-based exam evaluator as a solution. This method minimizes all human errors and makes the system more efficient. An automated answer checker checks and marks are given as human-counterpart and generate a report with possible suggestions for improvement of the answer scripts and generate a classification report to predict the student's final exam marks. This software application uses a Knowledge base, Abstract Syntax tree (AST), ANTLR, Image processing, and Machine Learning (ML) as key technologies. The proposed system gains a higher accuracy of 95% as performed by a separate human-counterpart. These results show a high level of accuracy and automate marking is the major emphasis to save human evaluation effort and maximize productivity.",2020,"['approach:fully_automated', 'data:internal_exams', 'data_available:False', 'evaluation:manual_grading', 'feedback:suggested_fixes', 'interaction:single', 'language:java', 'skill:correctness', 'technique:dsl_rules', 'technique:model_solution_req', 'technique:pattern_matching', 'tool:antlr', 'type:description', 'type:evaluation']"
47,rayyan-354359325,Automated Personalized Feedback in Introductory Java Programming MOOCs,V. J. Marin and T. Pereira and S. Sridharan and C. R. Rivero,"Currently, there is a ""boom"" in introductory programming courses to help students develop their computational thinking skills. Providing timely, personalized feedback that makes students reflect about what and why they did correctly or incorrectly is critical in such courses. However, the limited number of instructors and the great volume of submissions instructors need to assess, especially in Massive Open Online Courses (MOOCs), prove this task a challenge. One solution is to hire graders or create peer discussions among students, however, feedback may be too general, incomplete or even incorrect. Automatic techniques focus on: a) Functional testing, in which feedback usually does not sufficiently guide novices, b) Software verification to find code bugs, which may confuse novices since these tools usually skip true errors or produce false errors, and c) Comparing using reference solutions, in which a large amount of reference solutions or pre-existing correct submissions are usually required. This paper presents a semantic-aware technique to provide personalized feedback that aims to mimic an instructor looking for code snippets in student submissions. These snippets are modeled as subgraph patterns with natural language feedback attached to them. Submissions are transformed into extended program dependence graphs combining control and data flows. We leverage subgraph matching techniques to compute the adequate personalized feedback. Also, constraints correlating patterns allow performing fine-grained assessments. We have evaluated our method on several introductory programming assignments and a large number of submissions. Our technique delivered personalized feedback in milliseconds using a small set of patterns, which makes it appealing in real-world settings.",2017,"['approach:fully_automated', 'data:edX', 'data:internal_assignments', 'data_available:on_request', 'evaluation:analytics', 'feedback:personalised_feedback', 'interaction:none', 'language:java', 'skill:correctness', 'technique:dsl_rules', 'technique:graph_analysis', 'technique:knowledge_base', 'technique:model_solution_closeness', 'technique:pattern_matching', 'tool:antlr', 'tool:guava', 'tool:jgrapht', 'type:description', 'type:evaluation']"
48,rayyan-354359326,Automated Assessment of Complex Programming Tasks Using SIETTE,R. Conejo and B. Barros and M. F. Bertoa,"This paper presents an innovative method to tackle the automatic evaluation of programming assignments with an approach based on well-founded assessment theories (Classical Test Theory (CTT) and Item Response Theory (IRT)) instead of heuristic assessment as in other systems. CTT and/or IRT are used to grade the results of different items of evidence obtained from students' results. The methodology consists of considering program proofs as items, calibrating them, and obtaining the score using CTT and/or IRT procedures. These procedures measure overall validity reliability as well as diagnose the quality of each proof (item). The evidence is obtained through program proofs. The SIETTE system collects and processes all data to calculate the student knowledge level. This innovative method for programming task evaluation makes it possible to deploy the whole artillery developed in this research field over the last few decades. To the best of our knowledge, this is a new and original contribution in the area of programming assessment.",2018,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:compared_to_human', 'feedback:test_output', 'interaction:multiple', 'language:C', 'language:language__agnostic', 'language:lex', 'language:yacc', 'skill:code_quality', 'skill:correctness', 'technique:output_matching', 'technique:test_cases', 'technique:unit_testing', 'tool:siette', 'type:description', 'type:evaluation']"
49,rayyan-354359327,A Partial Grading Method using Pattern Matching for Programming Assignments,X. Liu and Y. Kim and J. Cheon and G. Woo,"The common approach of the automatic judging systems of programming assignments is compiling the submitted assignment codes to executable programs, then executing them based on pre-defined inputs and grading scores based on the outputs. The output will be evaluated as zero points if it only contains partially correct answers in most judging systems. We apply an approach based on the pattern matching that is able to evaluate the assignment code and give it a partial score if its output is partially correct. Our approach is developed based on Scala and it can be deployed on our previous automatic online programming evaluation system named neoESPA.",2019,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:grading_accuracy', 'feedback:none', 'interaction:unknown', 'language:scala', 'skill:correctness', 'technique:output_matching', 'technique:pattern_matching', 'tool:neoespa', 'type:description', 'type:evaluation']"
50,rayyan-354359328,Question Independent Automated Code Analysis and Grading using Bag of Words and Machine Learning,K. K. Rai and B. Gupta and P. Shokeen and P. Chakraborty,Our first-hand experience with the recruiting process of companies helped us realize that existing systems judge coding responses solely on the basis of test cases passed and often additional manual involvement is needed to determine the quality of code. We aim to build an open source code base to automatically grade coding responses. This work will help save the tedious effort on the part of Subject Matter Experts (SMEs) by proving useful for grading responses in MOOCs (Massive Open Online Courses) as well as coding rounds in the recruitment process. We have built our work on foundations introduced in extant research in the area. We have achieved better precision (89%) in addition to better Pearson Correlation Coefficient (0.981) as compared to existing methods using the bag of words technique to calculate the distance vector. Various machine learning models were explored to achieve optimal results. These results and observations provide a promise of successful application of this technique in other areas requiring automated grading.,2019,"['approach:unclear', 'data:bespoke_assignment', 'data:dataset_available', 'data_available:False', 'evaluation:auto_graders', 'evaluation:ml_models', 'feedback:none', 'interaction:unknown', 'language:C', 'skill:code_quality', 'skill:correctness', 'skill:maintainability', 'technique:machine_learning', 'technique:ml', 'technique:model_solution_closeness', 'technique:model_solution_req', 'technique:nlp', 'technique:pattern_matching', 'technique:static_analysis', 'tool:cppcheck', 'type:description', 'type:evaluation']"
51,rayyan-354359330,EvalSeer: An Intelligent Gamified System for Programming Assignments Assessment,R. Nabil and N. E. Mohamed and A. Mahdy and K. Nader and S. Essam and E. Eliwa,"Continuous evaluation of computer programs and providing informative assessments are crucial for computer programming students. However, swift and formative feedback can be challenging to achieve as it is usually a stressful and tedious task for professors merely through manual grading. There is an urgent need for a Learning management system (LMS) that offers instant and detailed feedback in a competitive environment for a better education experience. In this study, we introduce the EvalSeer learning management system. EvalSeer is an LMS equipped with an intelligent auto-grading engine to keep learners motivated and help them move forward. The code evaluation process covers various criteria that strengthen coding abilities and provides learners with the directions they need to improve. These criteria include coding style, code features, dynamic test cases, and successful compilation. EvalSeer uses Long short-term memory (LSTM) networks for code analysis to detect syntax errors and predict potential fixes. Also, the system shall explain suggested fixes backed up with related references. EvalSeer is an easy-to-use cloud-based system with a learner-first approach that can be applied both on-campus and in elearning systems. This work is timely with the dramatic education change, with a notable rise of e-learning due to the COVID-19 pandemic.",2021,"['approach:fully_automated', 'data:github_dataset', 'data_available:False', 'evaluation:none', 'feedback:gamified', 'interaction:unknown', 'language:c++', 'skill:code_quality', 'skill:correctness', 'technique:ml', 'technique:program_repair', 'technique:static_analysis', 'technique:test_cases', 'technique:unit_testing', 'tool:cpplint', 'type:description']"
52,rayyan-354359331,Nudging Students Toward Better Software Engineering Behaviors,C. Brown and C. Parnin,"Student experiences in large undergraduate Computer Science courses are increasingly impacted by automated systems. Bots, or agents of software automation, are useful for efficiently grading and generating feedback. Current efforts at automation in CS education focus on supporting instructional tasks, but do not address student struggles due to poor behaviors, such as procrastination. In this paper, we explore using bots to improve the software engineering behaviors of students using developer recommendation choice architectures, a framework incorporating behavioral science concepts in recommendations to improve the actions of programmers. We implemented this framework in class-bot, a novel system designed to nudge students to make better choices while working on programming assignments. This work presents a preliminary evaluation integrating this tool in an introductory programming course. Our results show that class-bot is beneficial for improving student development behaviors increasing code quality and productivity.",2021,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:analytics', 'feedback:hints', 'feedback:nudge_theory', 'feedback:static_analysis', 'interaction:multiple', 'language:unknown_language', 'skill:code_quality', 'skill:correctness', 'skill:maintainability', 'skill:productivity', 'technique:test_cases', 'tool:checkstyle', 'type:description', 'type:evaluation']"
53,rayyan-354359332,PAAA: An Implementation of Programming Assignments Automatic Assessing System,"Tianyi S,Yulin K,Yihong H,Yujuan Q","Now we are in the information age, and distance learning is becoming more and more popular. For subjects related to computer science, programming assignments can't be avoided. But it's hard for human to review massive answers. Therefore, on the basis of former study, we put forward a new method, which is on the level of source code comprehension. In this paper, we revealed a method of programming assignment automatic assessing. Our project, Programming Assignments Automatic Assessing (PAAA), imitates human reviewers' action, and take such strategy to look through the source code. Furthermore, with the help of general grammar analyze tool ANTLR, it is able to read source code written in different languages, and build a language-independent program directed graph. Through a lot of tests, PAAA can be up to a lot of grading jobs of programming assignments assessment. And the result shows that PAAA's result is very close to human's marking.",2019,"['approach:fully_automated', 'data:internal_assignments', 'data_available:False', 'evaluation:compared_to_human', 'evaluation:manual_grading', 'feedback:unclear', 'interaction:single', 'language:language__agnostic', 'skill:correctness', 'technique:graph_analysis', 'technique:model_solution_closeness', 'technique:model_solution_req', 'technique:pattern_matching', 'tool:antlr', 'type:description', 'type:evaluation']"
